ID,Argila,Silte,Areia Total,Al2O3,CaO,Ce,Cl,Cr,Cu,Fe,K2O,Mn,Ni,P2O5,Rb,SiO2,Sr,Ta,Ti,V,Zn,Zr
LBR_212 Média,37,31,32,221157,99,1201,383,113,15,41967,5763,102,18,0,9,283663,0,13,5159,0,23,188
LBR_231 Média,17,39,44,239382,564,1289,587,126,14,34955,8615,36,101,210,6,301550,16,20,4137,0,64,181
LBR_213 Média,46,37,17,101877,0,1999,302,0,73,150019,2229,1027,42,0,19,176225,0,0,15867,155,85,230
LBR_232 Média,58,12,30,217337,302,1554,609,199,14,52207,2475,92,19,0,4,217443,0,25,6615,0,20,236
LBR_214 Média,57,13,30,208995,520,1605,659,172,19,60191,3360,136,23,209,7,240534,13,14,5583,0,17,215
LBR_215 Média,63,16,21,193665,308,1802,607,193,46,96551,2627,326,35,0,6,230137,0,12,9309,31,22,271
LBR_216 Média,54,27,19,109441,457,1495,413,3772,83,212046,1783,1663,2276,0,25,163860,0,0,10043,39,59,166
LBR_217 Média,61,12,27,200086,864,1772,946,214,16,58918,3092,183,67,426,10,235214,20,17,5517,0,29,195
LBR_233 Média,43,11,46,130986,749,789,514,1032,31,70255,4155,717,189,0,20,269844,7,0,12318,72,44,307
LBR_218 Média,72,11,17,217066,0,1569,540,247,17,83306,1094,259,7,0,0,219157,0,23,10645,27,17,279
LBR_219 Média,72,16,12,169147,0,369,259,2956,64,176894,789,147,205,0,7,144071,0,10,14005,343,44,262
LBR_220 Média,73,7,20,168580,0,1276,96,439,41,130340,1856,456,22,0,7,180940,0,9,12932,109,30,328
LBR_221 Média,50,20,30,250578,0,1616,609,302,25,50954,2157,96,53,0,6,281058,2,18,4692,0,21,149
LBR_222 Média,75,13,12,181174,0,975,205,3270,77,173015,991,313,352,0,6,167990,0,0,11374,303,37,194
LBR_223 Média,38,14,48,218635,0,0,589,353,18,36714,2190,92,76,239,0,353214,0,4,3881,0,30,162
LBR_224 Média,36,13,51,224327,656,0,417,85,11,26384,3415,138,27,0,4,342172,8,12,4973,0,38,226
LBR_225 Média,73,18,9,151531,0,363,365,5471,83,209150,898,144,576,0,14,106405,0,0,12633,624,56,164
LBR_226 Média,57,10,33,209651,320,1456,542,66,15,50192,2296,132,11,0,3,241322,2,18,7404,0,34,216
LBR_234 Média,70,9,21,153206,1117,0,639,1018,47,105914,1214,410,89,0,6,155152,0,8,14461,348,23,239
